0.992973,1.21673,13.7489
0.940945,1.30377,14.6359
0.877651,1.40419,14.8288
0.796519,1.44302,14.8849
0.74891,1.53635,15.0066
0.683588,1.61957,15.2574
0.630887,1.7107,15.2574
0.569304,1.79599,15.0557
0.536694,1.931,14.9404
0.462451,1.98022,14.8788
0.524777,1.88946,15.0246
0.592347,1.8336,15.1967
0.644624,1.74092,15.2567
0.699082,1.64981,15.1584
0.757448,1.55702,14.9273
0.813706,1.46584,14.8056
0.867378,1.3747,14.6684
0.926189,1.27802,14.4429
0.980152,1.17983,13.7227
1.04055,1.08373,13.5302
1.09883,0.986773,13.4033
1.15533,0.889366,13.1481
1.20975,0.799211,13.2118
1.27089,0.703163,13.7231
1.32109,0.612042,14.7866
1.38463,0.524029,15.5479
1.43695,0.433309,17.1472
1.48987,0.335262,20.6892
1.54345,0.244395,23.1585
1.59514,0.158282,26.1541
1.64622,0.0706408,26.9776
1.70779,-0.0296515,33.78
1.76251,-0.117937,38.6294
1.81782,-0.208009,41.9508
1.87409,-0.300841,44.7684
1.92986,-0.389701,52.1865
1.98455,-0.486497,57.2829
2.03925,-0.57232,61.6595
2.09706,-0.666355,64.9004